,date,sentiment,Count,ticker,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,diff,bin_sentiment,bin_diff
128,2014-11-04,30,82,AAPL,109.36,109.49,107.72,108.6,41574365.0,0.0,1.0,103.864901771,103.988369558,102.307308145,103.14309009,41574365.0,-0.76,1,-1
129,2014-11-05,35,39,AAPL,109.1,109.3,108.125,108.86,37435905.0,0.0,1.0,103.617966196,103.807916638,102.69195779,103.390025665,37435905.0,-0.24,1,-1
130,2014-11-06,-2,79,AAPL,108.6,108.79,107.8,108.7,34968457.0,0.47,1.0,103.589062973,103.77029614,102.825975953,103.68444885,34968457.0,0.1,-1,1
131,2014-11-07,15,74,AAPL,108.75,109.32,108.55,109.01,33691535.0,0.0,1.0,103.732141789,104.275841291,103.541370034,103.980145071,33691535.0,0.26,1,1
132,2014-11-10,25,39,AAPL,109.02,109.33,108.67,108.83,27195547.0,0.0,1.0,103.989683658,104.285379879,103.655833087,103.808450491,27195547.0,-0.19,1,-1
133,2014-11-11,11,78,AAPL,108.7,109.75,108.4,109.7,27442252.0,0.0,1.0,103.68444885,104.686000564,103.398291218,104.638307626,27442252.0,1.0,1,1
134,2014-11-12,4,72,AAPL,109.38,111.43,109.37,111.25,46942431.0,0.0,1.0,104.333072818,106.288483306,104.32353423,106.116788727,46942431.0,1.87,1,1
135,2014-11-13,25,85,AAPL,111.8,113.45,111.6,112.82,59522855.0,0.0,1.0,106.641411053,108.215278032,106.450639298,107.614347004,59522855.0,1.02,1,1
136,2014-11-14,46,49,AAPL,113.15,114.19,113.05,114.18,44063595.0,0.0,1.0,107.9291204,108.921133526,107.833734522,108.911594938,44063595.0,1.03,1,1
137,2014-11-17,52,82,AAPL,114.27,117.28,113.3,113.99,46746712.0,0.0,1.0,108.997442228,111.868557141,108.072199216,108.730361771,46746712.0,-0.28,1,-1
138,2014-11-18,13,76,AAPL,113.94,115.69,113.89,115.47,44223978.0,0.0,1.0,108.682668832,110.351921688,108.634975893,110.142072758,44223978.0,1.53,1,1
139,2014-11-19,18,38,AAPL,115.44,115.74,113.8,114.67,41869160.0,0.0,1.0,110.113456994,110.399614627,108.549128603,109.378985738,41869160.0,-0.77,1,-1
140,2014-11-20,22,51,AAPL,114.91,116.86,114.85,116.31,43395537.0,0.0,1.0,109.607911844,111.467936455,109.550680317,110.943314129,43395537.0,1.4,1,1
141,2014-11-21,8,37,AAPL,117.51,117.57,116.03,116.47,57179298.0,0.0,1.0,112.087944659,112.145176185,110.676233672,111.095931533,57179298.0,-1.04,1,-1
142,2014-11-24,39,134,AAPL,116.85,118.77,116.62,118.625,47450824.0,0.0,1.0,111.458397867,113.289806715,111.239010349,113.151497193,47450824.0,1.775,1,1
143,2014-11-25,41,130,AAPL,119.07,119.75,117.45,117.6,68840440.0,0.0,1.0,113.575964348,114.224588315,112.030713132,112.173791949,68840440.0,-1.47,1,-1
144,2014-11-26,7,53,AAPL,117.94,119.1,117.83,119.0,40831886.0,0.0,1.0,112.498103932,113.604580111,112.393179467,113.509194234,40831886.0,1.06,1,1
145,2014-11-28,-2,29,AAPL,119.27,119.4,118.05,118.93,24814402.0,0.0,1.0,113.766736103,113.890737744,112.603028397,113.442424119,24814402.0,-0.34,-1,-1
146,2014-12-01,33,140,AAPL,118.81,119.25,111.27,115.07,83814037.0,0.0,1.0,113.327961066,113.747658927,106.135865902,109.760529248,83814037.0,-3.74,1,-1
147,2014-12-02,10,38,AAPL,113.5,115.75,112.75,114.63,59348940.0,0.0,1.0,108.262970971,110.409153215,107.54757689,109.340831387,59348940.0,1.13,1,1
148,2014-12-03,49,112,AAPL,115.75,116.35,115.11,115.93,43063440.0,0.0,1.0,110.409153215,110.98146848,109.798683599,110.580847794,43063440.0,0.18,1,1
